Java HotSpot(TM) 64-Bit Server VM (25.111-b14) for windows-amd64 JRE (1.8.0_111-b14), built on Sep 22 2016 19:24:05 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 15674836k(11331508k free), swap 16657876k(11949664k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.334: [GC (Allocation Failure) 0.334: [DefNew: 959K->63K(960K), 0.0009608 secs] 38864K->38278K(524224K), 0.0009973 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.337: [GC (Allocation Failure) 0.337: [DefNew: 959K->64K(960K), 0.0008482 secs] 39174K->38577K(524224K), 0.0008721 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.340: [GC (Allocation Failure) 0.340: [DefNew: 960K->63K(960K), 0.0007527 secs] 39473K->38844K(524224K), 0.0007735 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.342: [GC (Allocation Failure) 0.342: [DefNew: 959K->63K(960K), 0.0011130 secs] 39759K->39325K(524224K), 0.0011493 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.346: [GC (Allocation Failure) 0.346: [DefNew: 959K->64K(960K), 0.0012710 secs] 40246K->39859K(524224K), 0.0013172 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.348: [GC (Allocation Failure) 0.348: [DefNew: 960K->63K(960K), 0.0009651 secs] 40794K->40144K(524224K), 0.0009910 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.352: [GC (Allocation Failure) 0.352: [DefNew: 959K->63K(960K), 0.0008995 secs] 41065K->40449K(524224K), 0.0009363 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.355: [GC (Allocation Failure) 0.355: [DefNew: 959K->64K(960K), 0.0008698 secs] 41379K->40751K(524224K), 0.0008961 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.357: [GC (Allocation Failure) 0.357: [DefNew: 960K->63K(960K), 0.0008046 secs] 41683K->41037K(524224K), 0.0008265 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.360: [GC (Allocation Failure) 0.360: [DefNew: 959K->63K(960K), 0.0011484 secs] 41946K->41431K(524224K), 0.0012040 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.362: [GC (Allocation Failure) 0.362: [DefNew: 959K->63K(960K), 0.0010985 secs] 42338K->41809K(524224K), 0.0011336 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.366: [GC (Allocation Failure) 0.366: [DefNew: 959K->63K(960K), 0.0010358 secs] 42729K->42119K(524224K), 0.0010686 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.369: [GC (Allocation Failure) 0.369: [DefNew: 959K->64K(960K), 0.0009728 secs] 43033K->42465K(524224K), 0.0010016 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.371: [GC (Allocation Failure) 0.371: [DefNew: 960K->63K(960K), 0.0009132 secs] 43391K->42766K(524224K), 0.0009468 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.376: [GC (Allocation Failure) 0.376: [DefNew: 959K->64K(960K), 0.0011122 secs] 43691K->43115K(524224K), 0.0012145 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.377: [GC (Allocation Failure) 0.377: [DefNew: 960K->63K(960K), 0.0012582 secs] 44021K->43505K(524224K), 0.0012986 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.380: [GC (Allocation Failure) 0.380: [DefNew: 959K->63K(960K), 0.0010757 secs] 44411K->43862K(524224K), 0.0011148 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.384: [GC (Allocation Failure) 0.384: [DefNew: 959K->63K(960K), 0.0009753 secs] 44775K->44175K(524224K), 0.0010087 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.386: [GC (Allocation Failure) 0.386: [DefNew: 959K->64K(960K), 0.0008299 secs] 45109K->44455K(524224K), 0.0008533 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.389: [GC (Allocation Failure) 0.389: [DefNew: 960K->63K(960K), 0.0008066 secs] 45392K->44735K(524224K), 0.0008282 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.393: [GC (Allocation Failure) 0.393: [DefNew: 959K->63K(960K), 0.0014768 secs] 45659K->45287K(524224K), 0.0015361 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.398: [GC (Allocation Failure) 0.398: [DefNew: 959K->64K(960K), 0.0011119 secs] 46206K->45611K(524224K), 0.0011390 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.402: [GC (Allocation Failure) 0.402: [DefNew: 960K->64K(960K), 0.0009922 secs] 46539K->45911K(524224K), 0.0010255 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.404: [GC (Allocation Failure) 0.404: [DefNew: 960K->63K(960K), 0.0009158 secs] 46834K->46218K(524224K), 0.0009426 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.407: [GC (Allocation Failure) 0.407: [DefNew: 959K->64K(960K), 0.0012060 secs] 47117K->46640K(524224K), 0.0012468 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.409: [GC (Allocation Failure) 0.409: [DefNew: 960K->63K(960K), 0.0015906 secs] 47547K->47092K(524224K), 0.0017029 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.414: [GC (Allocation Failure) 0.414: [DefNew: 959K->63K(960K), 0.0010053 secs] 48005K->47387K(524224K), 0.0010324 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.417: [GC (Allocation Failure) 0.417: [DefNew: 959K->64K(960K), 0.0010252 secs] 48302K->47707K(524224K), 0.0010614 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.419: [GC (Allocation Failure) 0.419: [DefNew: 960K->64K(960K), 0.0009930 secs] 48625K->48023K(524224K), 0.0010201 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.423: [GC (Allocation Failure) 0.423: [DefNew: 960K->63K(960K), 0.0009979 secs] 48942K->48324K(524224K), 0.0010783 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.427: [GC (Allocation Failure) 0.427: [DefNew: 959K->64K(960K), 0.0011384 secs] 49227K->48717K(524224K), 0.0011846 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.429: [GC (Allocation Failure) 0.429: [DefNew: 960K->63K(960K), 0.0010557 secs] 49621K->49050K(524224K), 0.0010922 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.433: [GC (Allocation Failure) 0.433: [DefNew: 959K->64K(960K), 0.0009292 secs] 49969K->49336K(524224K), 0.0009571 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.436: [GC (Allocation Failure) 0.436: [DefNew: 960K->64K(960K), 0.0009289 secs] 50246K->49649K(524224K), 0.0009582 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.440: [GC (Allocation Failure) 0.440: [DefNew: 960K->63K(960K), 0.0014255 secs] 50565K->49985K(524224K), 0.0014837 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.442: [GC (Allocation Failure) 0.442: [DefNew: 959K->64K(960K), 0.0014532 secs] 50885K->50409K(524224K), 0.0015008 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.445: [GC (Allocation Failure) 0.445: [DefNew: 960K->64K(960K), 0.0012234 secs] 51312K->50824K(524224K), 0.0012619 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.448: [GC (Allocation Failure) 0.448: [DefNew: 960K->64K(960K), 0.0009585 secs] 51738K->51105K(524224K), 0.0009822 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.450: [GC (Allocation Failure) 0.450: [DefNew: 960K->64K(960K), 0.0008718 secs] 52020K->51402K(524224K), 0.0008989 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
